port,status,service,banner
1,closed,unknown,
2,closed,unknown,
3,closed,unknown,
4,closed,unknown,
5,closed,unknown,
6,closed,unknown,
7,closed,unknown,
8,closed,unknown,
9,closed,unknown,
10,closed,unknown,
11,closed,unknown,
12,closed,unknown,
13,closed,unknown,
14,closed,unknown,
15,closed,unknown,
16,closed,unknown,
17,closed,unknown,
18,closed,unknown,
19,closed,unknown,
20,closed,ftp-data,
21,closed,ftp,
22,open,ssh,SSH-2.0-OpenSSH_6.6.1p1 Ubuntu-2ubuntu2.13
23,closed,telnet,
24,closed,unknown,
25,closed,smtp,
26,closed,unknown,
27,closed,unknown,
28,closed,unknown,
29,closed,unknown,
30,closed,unknown,
31,closed,unknown,
32,closed,unknown,
33,closed,unknown,
34,closed,unknown,
35,closed,unknown,
36,closed,unknown,
37,closed,unknown,
38,closed,unknown,
39,closed,unknown,
40,closed,unknown,
41,closed,unknown,
42,closed,unknown,
43,closed,unknown,
44,closed,unknown,
45,closed,unknown,
46,closed,unknown,
47,closed,unknown,
48,closed,unknown,
49,closed,unknown,
50,closed,unknown,
51,closed,unknown,
52,closed,unknown,
53,closed,dns,
54,closed,unknown,
55,closed,unknown,
56,closed,unknown,
57,closed,unknown,
58,closed,unknown,
59,closed,unknown,
60,closed,unknown,
61,closed,unknown,
62,closed,unknown,
63,closed,unknown,
64,closed,unknown,
65,closed,unknown,
66,closed,unknown,
67,closed,dhcp,
68,closed,unknown,
69,closed,unknown,
70,closed,unknown,
71,closed,unknown,
72,closed,unknown,
73,closed,unknown,
74,closed,unknown,
75,closed,unknown,
76,closed,unknown,
77,closed,unknown,
78,closed,unknown,
79,closed,unknown,
80,open,http,
81,closed,unknown,
82,closed,unknown,
83,closed,unknown,
84,closed,unknown,
85,closed,unknown,
86,closed,unknown,
87,closed,unknown,
88,closed,unknown,
89,closed,unknown,
90,closed,unknown,
91,closed,unknown,
92,closed,unknown,
93,closed,unknown,
94,closed,unknown,
95,closed,unknown,
96,closed,unknown,
97,closed,unknown,
98,closed,unknown,
99,closed,unknown,
100,closed,unknown,
101,closed,unknown,
102,closed,unknown,
103,closed,unknown,
104,closed,unknown,
105,closed,unknown,
106,closed,unknown,
107,closed,unknown,
108,closed,unknown,
109,closed,unknown,
110,closed,pop3,
111,closed,unknown,
